shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6240719 41.1529176, -8.6242034 41.1530165, -8.6245074 41.1531926)",25632372,1417603317,8367074,True,47.674
"LINESTRING (-8.6100477 41.1551976, -8.6100495 41.1551215, -8.6100564 41.1542737, -8.6100567 41.1542418)",25632375,7056419949,434872539,False,106.28299999999999
"LINESTRING (-8.6100477 41.1551976, -8.6117228 41.1552195, -8.6119092 41.1552219)",25632375,5284368076,434872541,True,155.872
"LINESTRING (-8.6100477 41.1551976, -8.6100485 41.1552694, -8.610038 41.1556591)",25632375,1209790928,1064101791,False,51.326
"LINESTRING (-8.6101425 41.1518487, -8.6102145 41.1517548, -8.6105064 41.1513742, -8.6107099 41.1511088, -8.6108238 41.1509605, -8.6108654 41.1509028, -8.6108859 41.1508229, -8.6108828 41.150737, -8.6108577 41.1505507)",25632376,2893310955,"[14326572, 1082492468]",True,160.78
"LINESTRING (-8.6067378 41.1509254, -8.6067727 41.1508603, -8.6068677 41.1506833, -8.6071279 41.1501986, -8.6071805 41.1501006)",25632398,2204099938,434878401,False,98.92
"LINESTRING (-8.6067378 41.1509254, -8.6066521 41.1510744, -8.6061881 41.1518636, -8.6060991 41.1520153, -8.6060507 41.1520981)",25632398,2204100015,738994729,True,142.525
"LINESTRING (-8.6073894 41.1511073, -8.6076714 41.1504159)",25632399,6405838291,207724055,False,80.424
"LINESTRING (-8.6073894 41.1511073, -8.6072799 41.1510749, -8.6068694 41.1509605, -8.6067378 41.1509254)",25632399,25632398,38336643,True,58.189
"LINESTRING (-8.6077498 41.1502271, -8.6088617 41.1504737, -8.6089109 41.1504849)",25632400,25632401,206720845,True,101.35600000000001
"LINESTRING (-8.6077498 41.1502271, -8.6077362 41.1502602, -8.6077079 41.1503294, -8.6076714 41.1504159)",25632400,6405838291,683853048,True,21.996000000000002
"LINESTRING (-8.6089109 41.1504849, -8.6089714 41.150449, -8.6093946 41.1501979, -8.6094208 41.1501627)",25632401,25632402,8367104,True,56.049
"LINESTRING (-8.6089109 41.1504849, -8.6095236 41.1506438, -8.6096418 41.1506739, -8.6098386 41.1507215, -8.6099174 41.1507614, -8.6099602 41.1508241, -8.6099839 41.1508997)",25632401,25632419,206720845,True,106.439
"LINESTRING (-8.6094208 41.1501627, -8.6094343 41.1501003, -8.6094397 41.1500752, -8.6094945 41.1498231, -8.6095168 41.1496437, -8.6095185 41.1494714, -8.6095168 41.1493758, -8.6094999 41.1492167, -8.6094974 41.1492013, -8.6094912 41.1491623, -8.6094872 41.1491375)",25632402,1278184346,8367104,True,114.707
"LINESTRING (-8.6094208 41.1501627, -8.6094305 41.150187, -8.6094425 41.1502052, -8.6094468 41.1502118, -8.6094771 41.1502264, -8.6095333 41.1502543, -8.6100614 41.1505159, -8.610195 41.150582, -8.6102434 41.150606)",25632402,2242805402,227982906,True,85.70900000000002
"LINESTRING (-8.6042501 41.1509449, -8.6048091 41.15095, -8.6053649 41.1509574, -8.6057815 41.1509683, -8.6062191 41.1509753, -8.606543 41.1509805, -8.6065511 41.1509797, -8.6065982 41.1509751, -8.6066425 41.1509679, -8.6066871 41.1509547, -8.6067378 41.1509254)",25632411,25632398,8367114,True,209.843
"LINESTRING (-8.6042501 41.1509449, -8.6041872 41.1502245, -8.6041532 41.1498473, -8.6041093 41.1493955)",25632411,25632412,252526951,True,172.68900000000002
"LINESTRING (-8.6041093 41.1493955, -8.6045814 41.1495087, -8.6046127 41.1495157, -8.6046848 41.1495324, -8.604716 41.1495396, -8.6053983 41.1496976)",25632412,2829209747,14328446,True,113.035
"LINESTRING (-8.6041093 41.1493955, -8.6040977 41.1493117, -8.6040451 41.1487785, -8.6039968 41.1483147, -8.6039407 41.1477338, -8.6039313 41.1476365)",25632412,129553875,252526951,True,196.16500000000002
"LINESTRING (-8.6099839 41.1508997, -8.6099201 41.1509707, -8.6096217 41.1513031, -8.6095608 41.151371, -8.6095356 41.151399, -8.6095047 41.1514421, -8.6094979 41.1514773, -8.6095085 41.1515216, -8.6095342 41.1515651, -8.6096448 41.1516617)",25632419,452682265,"[1064101794, 1064101795, 1064101797, 743684113, 38336628]",True,100.89899999999999
"LINESTRING (-8.6104496 41.1491992, -8.610279 41.1491616)",25632422,3130312338,1062647699,False,14.884
"LINESTRING (-8.6104496 41.1491992, -8.610414 41.1492612, -8.6102387 41.1495666, -8.6102157 41.1496493, -8.6102062 41.1497297, -8.6102115 41.1498128, -8.610236 41.1499034, -8.6103431 41.1502996, -8.610351 41.1503452, -8.610337 41.1504258, -8.6103033 41.1505245, -8.6102434 41.150606)",25632422,2242805402,60175590,True,163.209
"LINESTRING (-8.6022297 41.1510098, -8.6024055 41.1532765)",25632423,25632426,252527740,True,252.475
"LINESTRING (-8.6022297 41.1510098, -8.6023759 41.1510052, -8.6036864 41.1509525)",25632423,25632424,252526952,True,122.133
"LINESTRING (-8.6036864 41.1509525, -8.6037649 41.1509502, -8.6041726 41.1509462, -8.6042501 41.1509449)",25632424,25632411,252526952,True,47.20700000000001
"LINESTRING (-8.6036864 41.1509525, -8.6036727 41.1509049, -8.6034058 41.1499762, -8.6033801 41.1498866, -8.6032733 41.149515, -8.6032645 41.1494844, -8.6031973 41.1492755, -8.6031713 41.1491982)",25632424,25632433,274467054,True,199.791
"LINESTRING (-8.6035241 41.1532611, -8.6024055 41.1532765)",25632425,25632426,350915445,True,93.67
"LINESTRING (-8.6035241 41.1532611, -8.6040571 41.1519148, -8.6042602 41.1513983, -8.6042771 41.1513403, -8.6042753 41.1512802, -8.6042577 41.1510038, -8.6042501 41.1509449)",25632425,25632411,252526950,True,266.74699999999996
"LINESTRING (-8.6024055 41.1532765, -8.6025153 41.1545412)",25632426,411909880,252527740,True,140.929
"LINESTRING (-8.6024055 41.1532765, -8.6007815 41.1532733)",25632426,25632427,350915445,True,135.969
"LINESTRING (-8.6007815 41.1532733, -8.6005458 41.1545339)",25632427,1043000761,14334429,True,141.555
