osmid,shape
112651995,POINT(-8.601425 41.1834539)
112652003,POINT(-8.6094518 41.1845936)
112652004,POINT(-8.6096796 41.1845514)
112652015,POINT(-8.6134476 41.1833293)
112652019,POINT(-8.617751 41.182741)
112652932,POINT(-8.5934728 41.1809453)
112664162,POINT(-8.5645865 41.1624857)
112664163,POINT(-8.5650895 41.1628187)
112664170,POINT(-8.5659462 41.1653438)
112664195,POINT(-8.5688101 41.1675895)
112664223,POINT(-8.5671192 41.1714021)
112664225,POINT(-8.5669955 41.1716827)
112664253,POINT(-8.5660818 41.1760635)
112664262,POINT(-8.5703125 41.1794677)
112664292,POINT(-8.5765633 41.1810177)
112664296,POINT(-8.5815274 41.1805552)
112664300,POINT(-8.5819868 41.1805876)
112664304,POINT(-8.5823903 41.1807415)
112664316,POINT(-8.584466 41.1813231)
112664320,POINT(-8.5863766 41.1800592)
112675715,POINT(-8.6280032 41.1575628)
112677103,POINT(-8.6331077 41.16275)
112677104,POINT(-8.6334964 41.163241)
112686793,POINT(-8.6096627 41.1406576)
112688608,POINT(-8.5864628 41.1432353)
112688628,POINT(-8.5784099 41.144493)
112693300,POINT(-8.6902135 41.2034029)
112693307,POINT(-8.6896774 41.2020963)
112694575,POINT(-8.6897749 41.2025112)
112694581,POINT(-8.6885199 41.2008572)
112694584,POINT(-8.6841048 41.1965658)
114302213,POINT(-8.6800419 41.1808482)
114302214,POINT(-8.6792516 41.1810456)
114302525,POINT(-8.6808788 41.1805933)
114302538,POINT(-8.6819597 41.1807554)
114302543,POINT(-8.6821053 41.1808149)
114302558,POINT(-8.6824552 41.1807118)
114302571,POINT(-8.6824677 41.1804489)
114302589,POINT(-8.6831056 41.1821705)
114302594,POINT(-8.6837215 41.1805453)
114302596,POINT(-8.6846956 41.1804793)
114302599,POINT(-8.6856549 41.1804014)
114302601,POINT(-8.6866393 41.1803363)
114302604,POINT(-8.687608 41.1802707)
114302606,POINT(-8.6885746 41.1802061)
114302622,POINT(-8.6895279 41.1799769)
114302625,POINT(-8.6875881 41.1801143)
114302629,POINT(-8.6866258 41.18019)
114302631,POINT(-8.6856412 41.1802594)
114302635,POINT(-8.6846815 41.1803328)
114302637,POINT(-8.6837094 41.1804033)
114302693,POINT(-8.6279082 41.1965322)
114302699,POINT(-8.6273274 41.1989572)
114302804,POINT(-8.6274638 41.2003327)
114310261,POINT(-8.5656998 41.1620435)
114310686,POINT(-8.5749686 41.1520715)
114310696,POINT(-8.5786264 41.1499065)
114310699,POINT(-8.5808614 41.1491995)
114310705,POINT(-8.5815075 41.1480176)
114310714,POINT(-8.5794325 41.1460615)
114312390,POINT(-8.5779888 41.1512331)
114314002,POINT(-8.574699 41.1520746)
114315556,POINT(-8.5796626 41.146385)
114315563,POINT(-8.5812331 41.1475865)
114315578,POINT(-8.5798341 41.1495021)
114320429,POINT(-8.5791502 41.1462573)
114320432,POINT(-8.5792721 41.1462377)
114320445,POINT(-8.5793258 41.1458821)
114320452,POINT(-8.5791579 41.1458378)
114320458,POINT(-8.5788761 41.1460517)
114320465,POINT(-8.579047 41.146241)
114323948,POINT(-8.5787046 41.1462924)
114324784,POINT(-8.5796527 41.1455662)
122432550,POINT(-8.6308069 41.1650366)
122432560,POINT(-8.6336666 41.1637296)
122432561,POINT(-8.6352081 41.1628949)
122432566,POINT(-8.6359462 41.1625307)
122434048,POINT(-8.6350672 41.1629893)
122439068,POINT(-8.6270836 41.1647122)
122439070,POINT(-8.6297021 41.1650357)
122452407,POINT(-8.5934639 41.1605486)
122452409,POINT(-8.5943292 41.1606069)
122452412,POINT(-8.5982534 41.1611025)
122452414,POINT(-8.60031 41.1613654)
122452417,POINT(-8.6016969 41.1615383)
122452424,POINT(-8.6068578 41.1621694)
122452425,POINT(-8.6092234 41.1624758)
122452427,POINT(-8.6111351 41.1627093)
122452429,POINT(-8.6126189 41.1628962)
122452434,POINT(-8.6207018 41.1639052)
122491912,POINT(-8.5829121 41.1776376)
122491913,POINT(-8.5845737 41.1743566)
122509808,POINT(-8.6893489 41.1784349)
122523494,POINT(-8.6776262 41.1522916)
122523605,POINT(-8.6797023 41.1545235)
122525234,POINT(-8.6783507 41.152985)
122525235,POINT(-8.6787639 41.153449)
122525425,POINT(-8.678571 41.1528939)
122528341,POINT(-8.6755597 41.1494088)
122528346,POINT(-8.6758709 41.149878)
122528348,POINT(-8.6759929 41.150286)
122528349,POINT(-8.6762608 41.1506522)
122528351,POINT(-8.6765626 41.1510805)
122535293,POINT(-8.674027 41.1478548)
122535567,POINT(-8.6733018 41.1486029)
122535570,POINT(-8.6741177 41.148261)
122535992,POINT(-8.6732279 41.1484969)
122535994,POINT(-8.6740414 41.1481592)
122549700,POINT(-8.6235745 41.1442647)
125800790,POINT(-8.6574557 41.199391)
125800815,POINT(-8.6607582 41.1978474)
125804428,POINT(-8.6541402 41.1999825)
125809997,POINT(-8.653155 41.1819205)
126397454,POINT(-8.6455756 41.1567787)
126401360,POINT(-8.6480341 41.1549288)
