shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.536882200000001 41.1361025, -8.5371574 41.1359494, -8.537744699999999 41.135576, -8.537839999999999 41.1355031, -8.5379252 41.1354135)",314536622,314536603,"[28617900, 28617902, 28617903]",True,116.65100000000001
"LINESTRING (-8.536882200000001 41.1361025, -8.5371474 41.1360876, -8.537295200000001 41.1361072, -8.537463300000001 41.136176, -8.5385414 41.1370294, -8.5387501 41.1372324, -8.5390087 41.1374426)",314536622,314536381,28617904,True,242.256
"LINESTRING (-8.5354647 41.1361615, -8.5350042 41.1356721)",314536634,1550550799,28617909,False,66.699
"LINESTRING (-8.5354647 41.1361615, -8.5355349 41.1362761, -8.535576300000001 41.1363776)",314536634,314536539,28617910,True,25.841
"LINESTRING (-8.5333906 41.1356383, -8.533334 41.1357243)",314536650,314536693,28617914,True,10.673
"LINESTRING (-8.533390600000001 41.1356383, -8.533403699999999 41.1356579, -8.533424800000001 41.1356729, -8.5334535 41.135682)",314536650,314536652,28617911,True,7.478
"LINESTRING (-8.5334535 41.135682, -8.533482599999999 41.135683, -8.533513599999999 41.1356751, -8.5335362 41.135661)",314536652,1326182351,28617911,True,7.639
"LINESTRING (-8.5344828 41.1351289, -8.534688 41.1350055)",314536670,920226263,78413738,False,21.991
"LINESTRING (-8.5344828 41.1351289, -8.5342198 41.1352406)",314536670,1556412526,78413738,False,25.286
"LINESTRING (-8.5344828 41.1351289, -8.5345687 41.1352786)",314536670,3846225594,441631648,True,18.134
"LINESTRING (-8.5298708 41.1364203, -8.5297642 41.1364086)",314536677,1550552563,28617923,True,9.022
"LINESTRING (-8.529870799999999 41.1364203, -8.529832799999999 41.1364443, -8.5298049 41.1364764)",314536677,3763258460,233439025,True,8.419
"LINESTRING (-8.5323409 41.1362876, -8.5326898 41.1361992)",314536680,1550551413,28617919,False,30.828
"LINESTRING (-8.532340899999999 41.1362876, -8.532100399999999 41.1363199, -8.5319781 41.1363289)",314536680,1550551879,28617922,True,30.75
"LINESTRING (-8.533334 41.1357243, -8.5334535 41.135682)",314536693,314536652,28617917,True,11.058
"LINESTRING (-8.533334 41.1357243, -8.533234200000001 41.135853, -8.5331685 41.1359411, -8.533069299999999 41.1360406, -8.532981400000001 41.1360876, -8.5328879 41.13613, -8.532729399999999 41.1361891, -8.5326898 41.1361992)",314536693,1550551413,28617919,False,78.125
"LINESTRING (-8.5306557 41.1363635, -8.5306651 41.1364303)",314536695,1550552591,1082667411,True,7.469
"LINESTRING (-8.530655700000001 41.1363635, -8.530507699999999 41.1363742, -8.5303305 41.136387, -8.529916200000001 41.136417, -8.529870799999999 41.1364203)",314536695,314536677,28617923,True,66.035
"LINESTRING (-8.5405493 41.1337286, -8.5405488 41.1337729, -8.5405669 41.133815)",314539770,1419379860,128432076,True,9.847000000000001
"LINESTRING (-8.540737200000001 41.1338905, -8.5407948 41.1338819, -8.540845900000001 41.1338602)",314539775,1419379863,128432076,True,9.831
"LINESTRING (-8.540734 41.137335, -8.5401515 41.136961, -8.540058699999999 41.1369186)",314539810,3283198450,232723567,False,73.19200000000001
"LINESTRING (-8.5444052 41.135021, -8.5449111 41.1352917, -8.546222 41.1358526)",314542512,314542549,28618047,False,178.236
"LINESTRING (-8.5444052 41.135021, -8.543745100000001 41.1349391, -8.5435921 41.1349448)",314542512,2409041500,28618047,False,68.856
